nombre,op1,op,op2,time
IgnacioF,22,+,5,3.2454652786
IgnacioF,5,/,93,2.5907053947
IgnacioF,30,+,4,2.2753722668
IgnacioF,69,/,68,2.4103274345
IgnacioF,79,/,23,5.5046031475
IgnacioF,41,*,19,53.8686099052
IgnacioF,2,*,4,7.2135753632
IgnacioF,77,+,49,11.6184141636
IgnacioF,36,/,34,2.7892575264
IgnacioF,32,/,97,2.3155224323
IgnacioF,69,-,5,4.7780897617
IgnacioF,26,/,7,5.932706356
IgnacioF,6,/,24,2.1245064735
IgnacioF,94,-,89,3.1017925739
IgnacioF,31,/,19,3.6696629524
IgnacioF,1,+,8,2.497076273
IgnacioF,59,+,73,10.4991428852
IgnacioF,84,*,37,60.8301436901
IgnacioF,87,/,23,6.3142149448
IgnacioF,49,/,73,29.8956315517
IgnacioF,20,/,11,3.9346396923
IgnacioF,92,+,59,15.0942921638
IgnacioF,56,+,13,5.8670349121
IgnacioF,43,+,13,7.3812758923
IgnacioF,7,-,78,7.730265379
IgnacioF,86,+,93,14.7995071411
IgnacioF,11,*,63,16.019187212
IgnacioF,86,*,68,126.547693491
IgnacioF,89,-,98,10.3330051899
IgnacioF,26,-,36,5.8316879272
IgnacioF,64,*,82,123.2567226887
IgnacioF,57,+,10,3.6289608479
IgnacioF,38,/,7,13.8156752586
IgnacioF,17,-,56,46.5456213951
IgnacioF,49,+,48,6.4380097389
IgnacioF,77,-,59,7.5927164555
IgnacioF,35,-,63,32.0274755955
IgnacioF,1,+,8,5.4050683975
IgnacioF,62,*,69,125.1711711884
IgnacioF,33,+,42,5.0866231918
IgnacioF,66,/,99,4.4910860062
IgnacioF,22,*,26,42.9827051163
IgnacioF,34,-,78,8.5982654095
IgnacioF,31,-,70,5.4756212234
IgnacioF,71,+,35,10.6736214161
IgnacioF,11,+,12,12.4846262932
IgnacioF,42,/,42,6.3038096428
IgnacioF,23,+,85,5.6470570564
IgnacioF,97,-,47,5.962631464
IgnacioF,48,-,65,24.4848148823
IgnacioF,43,+,11,5.4254670143
IgnacioF,34,-,29,10.7361865044
IgnacioF,71,/,16,9.3219528198
IgnacioF,30,/,43,3.4740588665
IgnacioF,36,/,58,5.9576108456
IgnacioF,24,+,28,8.9243795872
IgnacioF,30,+,35,4.5614793301
IgnacioF,12,*,6,25.0467181206
IgnacioF,15,+,38,10.6232271194
IgnacioF,60,/,91,5.1785876751
IgnacioF,22,+,18,10.1501867771
IgnacioF,97,/,47,11.2106907368
IgnacioF,79,+,28,22.4266674519
IgnacioF,71,*,51,38.4841246605
IgnacioF,98,/,38,4.4392852783
IgnacioF,14,*,18,84.9808206558
IgnacioF,51,+,66,15.2466714382
IgnacioF,43,/,83,3.373904705
IgnacioF,51,/,28,15.6561214924
IgnacioF,81,/,36,3.8826892376
IgnacioF,91,*,50,45.6404247284
IgnacioF,53,/,98,3.217877388
IgnacioF,88,/,53,3.9029972553
IgnacioF,23,-,69,10.3423657417
IgnacioF,2,-,91,18.4727451801
IgnacioF,42,+,69,21.7804546356
IgnacioF,82,-,76,30.8135972023
IgnacioF,91,-,67,72.7108416557
IgnacioF,86,*,46,51.3689520359
IgnacioF,3,*,87,19.2729074955
IgnacioF,36,/,73,3.9908208847
IgnacioF,29,-,11,5.3624751568
IgnacioF,57,/,63,13.5327377319
IgnacioF,19,+,58,12.6982235909
IgnacioF,36,-,12,10.5596475601
IgnacioF,85,/,52,2.7462842464
IgnacioF,22,*,22,23.9744915962
IgnacioF,38,/,28,4.2370729446
IgnacioF,99,-,28,15.6402420998
IgnacioF,83,+,94,9.5179085732
IgnacioF,39,/,62,7.0123109818
IgnacioF,31,+,77,4.566204071
IgnacioF,42,/,39,2.6732106209
IgnacioF,3,*,69,25.6536362171
IgnacioF,6,-,60,7.0707359314
IgnacioF,92,+,50,5.4637913704
IgnacioF,97,/,68,3.3763530254
IgnacioF,45,-,96,21.0296018124
IgnacioF,57,-,94,11.7701568604
IgnacioF,6,*,52,9.3078083992
IgnacioF,65,-,88,10.2234339714
IgnacioF,43,/,96,13.5001733303
IgnacioF,1,*,39,5.3213157654
IgnacioF,16,*,66,58.5606048107
IgnacioF,33,/,27,3.2196311951
IgnacioF,5,/,44,4.2937774658
IgnacioF,85,-,50,4.9082038403
IgnacioF,50,/,47,3.3844201565
IgnacioF,50,-,81,4.522197485
IgnacioF,61,*,18,78.1510441303
IgnacioF,25,/,53,3.1892273426
IgnacioF,22,*,2,2.8297691345
IgnacioF,85,+,12,5.1810045242
IgnacioF,33,+,14,6.3959746361
IgnacioF,92,*,20,19.1433534622
IgnacioF,5,+,42,22.8646950722
IgnacioF,59,-,38,5.8845469952
IgnacioF,56,/,49,2.6646165848
IgnacioF,69,+,45,11.1463198662
IgnacioF,73,*,89,163.003888607
IgnacioF,89,/,93,3.4901895523
IgnacioF,62,*,70,41.0737581253
IgnacioF,50,-,2,4.1220314503
IgnacioF,59,/,41,2.5795686245
IgnacioF,94,-,13,5.9794564247
IgnacioF,87,-,56,4.8917102814
IgnacioF,70,*,9,10.6194555759
IgnacioF,47,+,36,15.636143446
IgnacioF,12,-,47,7.3666889668
IgnacioF,9,/,80,4.2397165298
IgnacioF,43,/,51,3.0623340607
IgnacioF,21,*,92,38.0863933563
IgnacioF,18,*,16,94.3856289387
IgnacioF,10,-,41,18.0417442322
IgnacioF,44,*,42,37.183778286
IgnacioF,74,/,70,14.7159776688
IgnacioF,20,*,92,13.3266582489
IgnacioF,41,-,26,15.0993425846
IgnacioF,14,*,34,44.0115308762
IgnacioF,46,-,47,3.9516267776
IgnacioF,12,+,5,4.1207034588
IgnacioF,94,*,62,100.6500694752
IgnacioF,70,/,53,15.3246195316
IgnacioF,86,-,41,4.8104994297
IgnacioF,12,+,52,7.8127477169
IgnacioF,85,-,13,6.2165617943
IgnacioF,41,-,2,4.4523179531
IgnacioF,12,/,4,4.4077334404
IgnacioF,26,+,91,22.8539814949
IgnacioF,70,*,61,44.3428218365
IgnacioF,98,*,64,213.8294677734
IgnacioF,61,+,8,20.5557281971
IgnacioF,68,/,17,12.7619569302
IgnacioF,30,*,18,20.6898677349
IgnacioF,3,/,45,4.714073658
IgnacioF,25,-,59,15.8910501003
IgnacioF,58,/,66,3.3263585567
IgnacioF,49,/,86,3.9742763042
IgnacioF,37,/,59,2.972414732
IgnacioF,22,/,87,2.7250995636
IgnacioF,51,+,24,5.0026321411
IgnacioF,11,-,61,10.6937394142
IgnacioF,77,*,64,76.2234640121
IgnacioF,66,+,35,78.3754177094
IgnacioF,50,+,2,3.2696421146
IgnacioF,56,*,82,85.3909089565
IgnacioF,80,*,12,23.0594201088
IgnacioF,96,*,68,98.638551712
IgnacioF,79,*,16,69.8291873932
IgnacioF,31,*,23,108.194890976
IgnacioF,78,-,62,7.3175859451
IgnacioF,50,+,83,9.5513279438
IgnacioF,97,/,58,2.8596076965
IgnacioF,66,-,51,5.2415001392
IgnacioF,71,*,34,112.6751394272
IgnacioF,69,/,97,2.8851213455
IgnacioF,60,*,84,93.2046101093
IgnacioF,5,/,40,2.9585728645
IgnacioF,25,*,83,82.2571797371
IgnacioF,7,+,65,6.1975870132
IgnacioF,56,+,90,5.381809473
IgnacioF,92,+,34,6.4665431976
IgnacioF,67,-,98,50.9084186554
IgnacioF,5,-,92,9.0113825798
IgnacioF,73,-,33,10.3849909306
IgnacioF,1,+,33,12.8181860447
IgnacioF,8,-,28,4.7626023293
IgnacioF,30,*,45,72.7123377323
IgnacioF,43,+,4,13.8205091953
IgnacioF,82,+,9,13.5214822292
IgnacioF,56,*,62,52.3511333466
IgnacioF,48,-,12,8.1665980816
IgnacioF,2,*,64,10.2857220173
IgnacioF,61,+,4,10.2303693295
IgnacioF,28,-,88,74.5846624374
IgnacioF,25,-,18,7.094555378
IgnacioF,4,/,63,16.5196964741
IgnacioF,75,/,93,6.4609997272
IgnacioF,57,/,69,6.8906247616
IgnacioF,6,+,97,11.6931505203
IgnacioF,67,*,49,57.5135099888
IgnacioF,59,-,78,36.2828595638
IgnacioF,42,/,3,12.9243125916
IgnacioF,82,+,27,11.4824914932
IgnacioF,67,-,91,16.2473402023
IgnacioF,3,/,71,7.3178670406
IgnacioF,68,+,43,17.5465593338
IgnacioF,5,*,95,17.0395042896
IgnacioF,97,-,95,12.9748737812
IgnacioF,75,*,27,30.0974445343
IgnacioF,66,-,87,27.9067015648
IgnacioF,6,-,13,13.2480778694
IgnacioF,16,/,51,7.3704352379
IgnacioF,77,/,42,40.7390387058
IgnacioF,97,*,93,32.7079253197
IgnacioF,45,-,27,14.0031061172
IgnacioF,12,*,76,28.4595086575
IgnacioF,89,+,27,15.2064948082
IgnacioF,39,*,13,35.1631040573
IgnacioF,42,*,70,16.6064441204
IgnacioF,3,-,62,11.1194643974
IgnacioF,88,*,17,25.1405675411
IgnacioF,61,/,49,7.298261404
IgnacioF,96,+,43,10.8408811092
IgnacioF,58,-,16,12.3022670746
IgnacioF,54,+,10,17.8974337578
IgnacioF,54,-,98,13.7747306824
IgnacioF,75,+,38,10.048099041
IgnacioF,12,+,6,5.6906671524
IgnacioF,71,/,56,6.0475068092
IgnacioF,3,*,86,12.0641753674
IgnacioF,63,*,74,33.2047114372
IgnacioF,36,/,10,7.082567215
IgnacioF,1,/,86,8.696716547
IgnacioF,2,-,28,30.3306632042
IgnacioF,49,*,12,44.3964722157
IgnacioF,84,-,86,6.9781758785
IgnacioF,44,+,40,6.6050345898
IgnacioF,77,/,29,22.7238252163
IgnacioF,1,*,80,7.2169394493
IgnacioF,80,+,78,9.2649672031
IgnacioF,68,/,4,62.6303801537
IgnacioF,14,/,1,8.4781520367
IgnacioF,88,-,23,12.8406817913
IgnacioF,89,+,3,7.3642427921
IgnacioF,93,*,64,25.4596188068
IgnacioF,72,/,17,25.9524259567
IgnacioF,80,-,31,7.3001081944
IgnacioF,59,-,66,8.9755535126
IgnacioF,29,*,56,24.7078564167
IgnacioF,25,/,18,6.1397321224
IgnacioF,64,*,6,13.6303565502
IgnacioF,78,+,19,100.9181010723
IgnacioF,61,*,81,24.4078543186
IgnacioF,2,/,25,9.4306278229
IgnacioF,17,-,74,17.3151829243
IgnacioF,55,/,60,6.9822335243
IgnacioF,60,+,98,11.2176852226
IgnacioF,6,/,61,7.109112978
IgnacioF,34,*,29,24.6008286476
IgnacioF,85,*,8,17.2985458374
IgnacioF,55,-,77,11.497469902
IgnacioF,38,*,46,22.9020316601
IgnacioF,14,-,10,6.233730793
IgnacioF,6,/,32,5.4731352329
IgnacioF,10,+,78,6.4029932022
IgnacioF,94,+,12,10.3017177582
IgnacioF,48,*,79,23.8000166416
IgnacioF,57,/,76,5.829785347
IgnacioF,37,/,55,4.6645243168
IgnacioF,1,/,93,5.3000695705
IgnacioF,72,*,14,47.2536313534
IgnacioF,97,/,92,7.2446913719
IgnacioF,24,/,65,6.7312107086
IgnacioF,17,/,93,4.8736798763
IgnacioF,80,*,22,89.0997035503
IgnacioF,41,*,81,54.6941697598
IgnacioF,96,-,24,11.676337719
IgnacioF,54,+,99,13.9464607239
IgnacioF,94,+,13,8.4760737419
IgnacioF,47,+,53,10.3369913101
IgnacioF,15,-,66,45.2815821171
IgnacioF,94,+,33,9.475656271
IgnacioF,46,-,7,7.4598553181
IgnacioF,30,*,96,21.4117722511
IgnacioF,21,-,26,7.1564068794
IgnacioF,37,*,58,49.6086287498
IgnacioF,1,+,52,5.2705869675
IgnacioF,88,-,65,11.7461898327
IgnacioF,55,+,11,8.8598339558
IgnacioF,31,+,85,8.8969402313
IgnacioF,96,/,34,9.8435280323
IgnacioF,91,-,90,6.3767638206
IgnacioF,61,+,86,11.0755159855
IgnacioF,80,/,72,8.5948052406
IgnacioF,8,/,70,5.77247262
IgnacioF,75,/,57,5.8412747383
IgnacioF,68,/,32,6.225484848
IgnacioF,53,/,20,6.5430045128
IgnacioF,93,+,29,11.2337427139
IgnacioF,89,/,62,5.1716892719
IgnacioF,92,+,28,12.087523222
IgnacioF,15,/,49,7.3780219555
IgnacioF,68,+,54,12.3160316944
IgnacioF,66,+,23,7.4720442295
IgnacioF,43,+,9,9.4264473915
IgnacioF,56,+,32,8.688585043
IgnacioF,19,/,67,5.3944458961
IgnacioF,27,+,6,6.1438364983
IgnacioF,33,/,13,13.6515648365
IgnacioF,53,+,51,8.5768573284
IgnacioF,73,+,29,20.3502557278
IgnacioF,49,/,49,5.2408046722
IgnacioF,58,+,66,13.827575922
IgnacioF,10,+,70,9.3995234966
IgnacioF,1,-,23,25.283823967
IgnacioF,43,-,14,15.6742348671
IgnacioF,20,+,48,9.2554271221
IgnacioF,20,*,58,18.9355015755
IgnacioF,29,+,43,9.8200967312
IgnacioF,52,+,61,8.9850003719
IgnacioF,13,+,67,9.5655035973
IgnacioF,97,*,72,22.6695790291
IgnacioF,45,*,32,22.9367089272
IgnacioF,26,/,48,6.4693527222
IgnacioF,31,/,8,9.0255563259
IgnacioF,92,+,95,11.1787416935
IgnacioF,92,*,62,29.9942040443
IgnacioF,53,+,3,6.0888075829
IgnacioF,23,/,61,5.7179219723
IgnacioF,13,/,40,5.0604920387
IgnacioF,43,-,67,11.8815355301
IgnacioF,40,/,24,8.5076067448
IgnacioF,51,-,82,9.5650093555
IgnacioF,12,+,52,9.962780714
IgnacioF,56,-,25,11.9176733494
IgnacioF,40,+,73,9.1769316196
IgnacioF,93,/,67,4.699395895
IgnacioF,67,/,10,7.0359904766
IgnacioF,44,*,7,15.6827163696
IgnacioF,78,+,82,8.931292057
IgnacioF,74,/,89,5.235814333
IgnacioF,19,+,21,6.8787515163
IgnacioF,62,+,21,9.7781789303
IgnacioF,83,+,3,7.645355463
IgnacioF,19,+,13,8.5348603725
IgnacioF,6,+,73,7.8959345818
IgnacioF,14,+,64,7.1164793968
IgnacioF,77,-,88,10.1705904007
IgnacioF,50,*,91,61.5731906891
IgnacioF,89,-,48,13.4774093628
IgnacioF,38,/,2,14.8513410091
IgnacioF,13,-,11,6.3379807472
IgnacioF,71,+,53,15.7071835995
IgnacioF,3,+,74,7.1273715496
IgnacioF,81,+,50,14.8194227219
IgnacioF,95,*,64,26.317871809
IgnacioF,84,*,57,24.7887065411
IgnacioF,61,*,51,26.3028564453
IgnacioF,67,*,14,29.8447964191
IgnacioF,39,-,48,11.365831852
IgnacioF,80,+,17,5.5716714859
IgnacioF,87,/,75,5.4287469387
IgnacioF,94,/,57,6.0815536976
IgnacioF,6,/,30,8.625836134
IgnacioF,67,*,12,28.0741612911
IgnacioF,44,/,58,5.1758644581
IgnacioF,89,-,78,9.5251235962
IgnacioF,77,+,55,22.9322469234
IgnacioF,68,-,36,11.251349926
IgnacioF,55,+,86,21.4778857231
IgnacioF,88,-,4,8.5267431736
IgnacioF,91,+,58,13.6414825916
IgnacioF,14,+,59,14.3584458828
IgnacioF,6,+,54,6.6774740219
IgnacioF,98,+,11,9.7378499508
IgnacioF,83,/,7,35.8221521378
IgnacioF,63,/,26,12.1490540504
IgnacioF,9,-,50,7.6099991798
IgnacioF,49,/,26,15.8124816418
IgnacioF,26,-,35,11.8963193893
IgnacioF,76,+,56,9.8497648239
IgnacioF,34,-,43,9.6553122997
IgnacioF,7,/,92,8.9017350674
IgnacioF,25,+,2,6.253620863
IgnacioF,62,+,45,9.9680452347
IgnacioF,98,/,23,19.7807748318
IgnacioF,72,+,13,9.4776284695
IgnacioF,59,*,85,24.8638238907
IgnacioF,73,*,46,21.2779867649
IgnacioF,1,-,37,15.7154080868
IgnacioF,51,/,40,5.4173433781
IgnacioF,61,/,43,5.8639426231
IgnacioF,95,+,3,4.6471590996
IgnacioF,2,+,20,8.5835044384
IgnacioF,60,/,43,7.1297204494
IgnacioF,66,*,34,22.340480566
IgnacioF,45,/,88,5.3628869057
IgnacioF,87,-,13,11.1395213604
IgnacioF,72,-,90,10.066177845
IgnacioF,74,/,37,22.0181050301
IgnacioF,80,-,24,14.7906887531
IgnacioF,30,/,21,7.2337973118
IgnacioF,14,/,85,5.2740180492
IgnacioF,15,+,27,9.430949688
IgnacioF,88,+,36,12.5032477379
IgnacioF,5,+,30,5.9111018181
IgnacioF,76,+,73,9.9141836166
IgnacioF,65,/,53,11.3740246296
IgnacioF,87,*,30,31.296569109
IgnacioF,19,+,96,11.6483469009
IgnacioF,35,-,83,24.7769320011
IgnacioF,85,/,79,6.633081913
IgnacioF,75,/,89,5.0862858295
IgnacioF,42,/,21,5.6878871918
IgnacioF,31,/,50,5.0377748013
IgnacioF,46,+,16,11.6414985657
IgnacioF,47,-,75,16.8796789646
IgnacioF,88,/,35,6.2799172401
IgnacioF,30,+,26,6.5752542019
IgnacioF,73,-,53,6.049472332
IgnacioF,46,/,15,10.4265062809
IgnacioF,1,-,46,8.191473484
IgnacioF,87,*,27,25.0593719482
IgnacioF,54,+,2,6.2652361393
IgnacioF,6,-,28,7.2186939716
IgnacioF,18,+,78,10.4866540432
IgnacioF,46,+,84,10.5043721199
IgnacioF,58,-,54,10.7323451042
IgnacioF,6,-,21,7.1367964745
IgnacioF,43,/,50,33.406504631
IgnacioF,73,+,54,10.7066614628
IgnacioF,8,+,51,6.2650706768
IgnacioF,89,/,38,7.0981037617
IgnacioF,70,+,93,9.5989973545
IgnacioF,12,-,68,11.0778639317
IgnacioF,56,-,91,19.8894555569
IgnacioF,76,-,11,7.4425420761
IgnacioF,55,/,52,6.7177462578
IgnacioF,87,-,13,9.6383786201
IgnacioF,82,*,63,39.4386191368
IgnacioF,65,+,91,8.9918038845
IgnacioF,37,-,16,12.0094599724
IgnacioF,67,/,42,7.523979187
IgnacioF,12,*,43,49.0661900043
IgnacioF,13,*,38,45.5721387863
IgnacioF,36,/,95,6.1873788834
IgnacioF,85,+,46,29.5156414509
IgnacioF,80,+,99,11.8754234314
IgnacioF,7,+,20,5.9353020191
IgnacioF,71,-,37,12.8360655308
IgnacioF,47,/,49,7.4106900692
IgnacioF,56,-,83,28.7466466427
IgnacioF,57,+,21,17.9756724834
IgnacioF,76,-,24,9.4667937756
IgnacioF,48,/,38,10.71286273
IgnacioF,4,+,78,6.9877593517
IgnacioF,86,/,8,92.5499949455
IgnacioF,18,/,73,7.2797808647
IgnacioF,67,/,23,10.2159802914
IgnacioF,29,+,6,6.7271652222
IgnacioF,88,+,62,13.1111915112
IgnacioF,98,-,11,8.6472101212
IgnacioF,42,/,23,10.6313889027
IgnacioF,25,+,93,9.139269352
IgnacioF,31,+,82,9.6668555737
IgnacioF,4,*,43,13.7552969456
IgnacioF,11,-,64,10.920211792
IgnacioF,84,+,28,11.8197548389
IgnacioF,81,-,21,8.3621864319
IgnacioF,65,/,57,5.7605319023
IgnacioF,51,-,60,8.7989985943
IgnacioF,42,/,77,6.1632657051
IgnacioF,54,-,39,13.1396808624
IgnacioF,58,-,50,11.5888872147
IgnacioF,69,+,46,8.5583183765
IgnacioF,41,-,29,6.6231002808
IgnacioF,21,*,82,66.4934303761
IgnacioF,75,-,69,7.9642784595
IgnacioF,3,-,55,6.660046339
IgnacioF,13,/,42,6.3205091953
IgnacioF,81,*,38,22.7406919003
IgnacioF,20,/,6,5.0165710449
IgnacioF,54,*,81,21.5932826996
IgnacioF,90,*,18,22.3467521667
IgnacioF,44,+,9,7.3587906361
IgnacioF,75,+,3,9.5033140182
IgnacioF,72,/,94,4.3491768837
IgnacioF,61,/,56,4.7340686321
IgnacioF,74,/,14,31.3215744495
IgnacioF,67,*,68,32.0157673359
IgnacioF,82,-,52,6.7119133472
IgnacioF,43,*,62,22.2230427265
IgnacioF,47,+,58,9.3964233398
IgnacioF,28,+,33,11.144973278
IgnacioF,28,/,47,8.1822607517
IgnacioF,56,/,47,4.736030817
IgnacioF,47,/,78,7.1372115612
IgnacioF,16,/,38,6.1851856709
IgnacioF,53,-,15,11.4333508015
IgnacioF,10,/,64,7.2142145634
IgnacioF,91,*,97,38.9818296432
IgnacioF,95,+,12,10.8901760578
IgnacioF,62,-,78,12.1508979797
IgnacioF,82,*,43,24.7925088406
IgnacioF,33,+,93,9.5365710258
IgnacioF,6,-,68,20.0076024532
IgnacioF,8,+,78,7.8481740952
IgnacioF,73,/,37,14.3927528858
IgnacioF,85,+,1,6.2679572105
IgnacioF,28,+,13,9.7991101742
IgnacioF,94,+,62,8.4578719139
IgnacioF,82,-,34,11.3291523457
IgnacioF,41,-,13,13.9176149368
IgnacioF,61,+,62,7.128005743
IgnacioF,41,*,58,22.7111411095
IgnacioF,18,-,1,5.8194811344
IgnacioF,80,*,37,25.1506617069
IgnacioF,18,*,32,22.2337231636
IgnacioF,97,+,97,11.9610445499
IgnacioF,63,+,24,7.5889730453
IgnacioF,54,*,7,13.0848667622
IgnacioF,73,/,2,44.2429525852
IgnacioF,36,/,84,5.6972823143
IgnacioF,88,+,3,10.0352022648
IgnacioF,99,*,52,23.3801057339
IgnacioF,98,/,80,7.9822356701
IgnacioF,96,+,93,9.8888175488
IgnacioF,78,*,53,21.2961051464
IgnacioF,12,+,10,5.060418129
IgnacioF,12,/,38,8.8283991814
IgnacioF,52,-,43,6.446407795
IgnacioF,31,-,34,7.0221731663
IgnacioF,71,/,38,10.7960612774
IgnacioF,43,*,98,28.7137176991
IgnacioF,14,-,78,36.4043161869
IgnacioF,9,+,73,7.539465189
IgnacioF,56,*,81,22.4551708698
IgnacioF,18,+,83,12.4131026268
IgnacioF,26,/,90,4.8220565319
IgnacioF,95,+,50,10.6628239155
IgnacioF,71,*,24,25.6291191578
IgnacioF,69,/,94,5.3465015888
IgnacioF,66,*,90,48.3072197437
IgnacioF,74,/,83,4.5441174507
IgnacioF,89,-,13,13.5104455948
IgnacioF,67,+,56,9.92202425
IgnacioF,17,/,33,8.1782243252
IgnacioF,4,/,56,7.7963266373
IgnacioF,89,-,61,18.895709753
IgnacioF,97,*,8,26.0897762775
IgnacioF,71,+,9,3.2982800007
IgnacioF,9,/,26,2.5872137547
IgnacioF,16,+,64,4.7741324902
IgnacioF,13,*,26,30.0692670345
IgnacioF,96,-,80,3.7040879726
IgnacioF,96,-,78,11.1179134846
IgnacioF,34,*,56,41.2424936295
IgnacioF,26,*,15,23.7368605137
IgnacioF,77,/,56,3.8531928062
IgnacioF,68,-,11,4.8541328907
IgnacioF,63,/,11,3.8822505474
IgnacioF,7,*,32,23.5982449055
IgnacioF,69,-,21,9.6642026901
IgnacioF,99,*,67,62.7102894783
IgnacioF,63,*,94,35.9009957314
IgnacioF,55,*,13,32.5775313377
IgnacioF,24,+,8,3.9624979496
IgnacioF,35,+,52,5.7663385868
IgnacioF,59,-,3,9.4224381447
IgnacioF,56,*,70,49.5739719868
IgnacioF,37,/,96,2.5219449997
